[2026-07-04 23:03:41] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=195&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:42] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=195&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:03:56] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=155&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:04:10] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=238&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:04:11] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=237&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:04:11] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=236&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:04:12] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=236&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:04:12] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=237&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:04:12] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=238&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:04:45] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=237&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:05:18] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=236&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:05:23] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=239&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-04 23:08:06] type=system_error | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/get_objectifs.php?sequence_id=238&limit=8 | ip=::1 | message=mysqli_sql_exception: Illegal mix of collations (utf8mb4_unicode_ci,IMPLICIT) and (utf8mb4_general_ci,IMPLICIT) for operation '=' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\get_objectifs.php:44
[2026-07-05 03:27:17] type=access_denied | user=bettioui hajar | role=formateur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=access_denied | ip=::1 | message=error_page_displayed
[2026-07-05 03:29:57] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:478
[2026-07-05 03:30:08] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:478
[2026-07-05 03:30:11] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:478
[2026-07-05 03:30:27] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:478
[2026-07-05 03:30:49] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:470
[2026-07-05 03:30:52] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:470
[2026-07-05 03:31:04] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:478
[2026-07-05 03:35:10] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:478
[2026-07-05 03:35:24] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:478
[2026-07-05 03:35:34] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/validation_seances.php | ip=::1 | message=mysqli_sql_exception: Unknown column 'à' in 'where clause' in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\validation_seances.php:478
[2026-07-05 03:45:57] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-05 23:59:51] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-05 23:59:53] type=session_expired | user=- | role=- | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=session_expired | ip=::1 | message=error_page_displayed
[2026-07-06 00:41:54] type=404 | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/edition_etats.php | ip=::1 | message=error_page_displayed
[2026-07-06 01:38:13] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/liste_filieres.php | ip=::1 | message=ErrorException: Cannot modify header information - headers already sent by (output started at C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\navbar_sidebar.php:141) in C:\xampp\htdocs\STAGE\codex vers\sp - Server v1\liste_filieres.php:24
[2026-07-06 01:38:13] type=system_error | user=Hamza Bourkha | role=directeur | page=/STAGE/codex%20vers/sp%20-%20Server%20v1/error.php?type=system_error | ip=::1 | message=error_page_displayed
